Name,Symptoms,Treatment
Juvenile Rheumatoid Arthritis,"Joint pain, swelling, stiffness, limited range of motion, fever, rash","Treatment may involve medications (such as nonsteroidal anti-inflammatory drugs, disease-modifying antirheumatic drugs, or biologic agents), physical therapy, occupational therapy, and in some cases, lifestyle modifications (such as exercise and healthy diet)."
Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas","Treatment may involve topical medications (such as imiquimod or fluorouracil cream), cryotherapy (freezing), curettage (scraping), photodynamic therapy, or laser therapy, along with sun protection and regular skin exams to monitor for skin cancer."
Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Treatment may involve watchful waiting (especially in mild cases), pain management with over-the-counter medications, antibiotics (if bacterial infection is suspected or confirmed), and in some cases, placement of ear tubes to prevent recurrent infections."
Astigmatism,"Blurred or distorted vision, eye strain, headaches","Treatment typically involves corrective lenses (eyeglasses or contact lenses) to compensate for the irregular shape of the cornea or lens. In some cases, refractive surgery (such as LASIK) may be recommended to reshape the cornea and improve vision."
Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities","Treatment aims to manage symptoms and complications associated with the disorder. Options may include antiepileptic medications to control seizures, behavioral interventions, surgery to remove tumors or repair organ damage, and supportive therapies (such as physical therapy or speech therapy)."
Empyema,"Fever, chest pain, productive cough with foul-smelling or bloody sputum","Treatment typically involves antibiotics to clear the infection, along with drainage of the infected fluid from the pleural space. In some cases, surgery may be necessary to remove thickened, infected tissue or to repair any underlying lung or chest wall damage."
Presbycusis,"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear","Treatment may include hearing aids or assistive devices to amplify sounds and improve communication, auditory rehabilitation programs to develop coping strategies, and lifestyle modifications (such as avoiding loud noise and protecting the ears)."
Neonatal Jaundice,"Yellowing of the skin and eyes, pale stools, dark urine","Treatment may involve phototherapy (exposure to special lights that help break down bilirubin), exchange transfusion (to replace the baby's blood with donor blood), or intravenous immunoglobulin therapy (to reduce bilirubin levels). In some cases, underlying conditions that contribute to jaundice may require additional treatment."
Dislocation of the Elbow,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","Immediate medical attention is necessary. Treatment typically involves gentle manipulation to relocate the dislocated elbow, followed by immobilization with a splint or sling and rehabilitation exercises to restore strength and range of motion."
Spondylosis,"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities","Treatment may include rest, physical therapy, stretching and strengthening exercises, pain management with medications (such as NSAIDs or muscle relaxants), and in some cases, injections (such as corticosteroids or nerve blocks) to reduce inflammation and relieve pain."
Herpangina,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","Treatment typically focuses on relieving symptoms and preventing dehydration. Options may include pain relievers (such as acetaminophen or ibuprofen), cold fluids or popsicles to soothe the throat, and maintaining adequate hydration with water or oral rehydration solutions."
Poisoning due to Antidepressants,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress","Treatment may involve supportive care to stabilize vital signs and manage symptoms. Depending on the specific antidepressant involved, additional interventions such as activated charcoal administration, gastric lavage (stomach pumping), or antidotes (such as physostigmine for tricyclic antidepressant poisoning) may be necessary."
Infection of Open Wound,"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise","Treatment typically involves cleaning and dressing the wound, along with antibiotics to prevent or treat infection. In some cases, surgical debridement (removal of dead tissue) or closure may be necessary."
Protein Deficiency,"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity","Treatment involves increasing protein intake through dietary changes and, in some cases, supplementation. Addressing the underlying cause of the deficiency (such as malnutrition or gastrointestinal disorders) is also important."
Myoclonus,"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face","Treatment depends on the underlying cause and severity of myoclonus. Options may include medications (such as antiepileptic drugs, benzodiazepines, or muscle relaxants), physical therapy, and lifestyle modifications (such as avoiding triggers or managing stress)."
Bone Spur of the Calcaneus,"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue","Treatment may include rest, ice, stretching exercises, orthotic devices (such as heel pads or shoe inserts), pain relievers (such as NSAIDs), physical therapy, and in severe cases, corticosteroid injections or surgery to remove the bone spur."
Von Willebrand Disease,"Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool","Treatment depends on the severity of the disease and may include medications (such as desmopressin or clotting factor concentrates), blood transfusions, and measures to control bleeding during procedures or surgeries. Avoiding medications that affect platelet function is also important."
Heart Block,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","Treatment depends on the type and severity of heart block. Options may include medications (such as beta-blockers or calcium channel blockers), pacemaker implantation to regulate heart rhythm, and lifestyle modifications (such as avoiding triggers and managing underlying conditions)."
